epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,812.355,0.44488,2.72352,0.82727,0.46598,0.63421,0.46917,0.42101,0.44657,2.27441,0.80961,0.000275022,0.000275022,0.000275022
2,1618.37,0.39979,1.64071,0.8008,0.52399,0.91401,0.64433,0.60351,0.35513,1.28483,0.78508,0.000497973,0.000497973,0.000497973
3,2446.36,0.37555,1.32036,0.7956,0.5235,0.80651,0.61395,0.5725,0.36597,1.33103,0.79135,0.000665945,0.000665945,0.000665945
4,3294.43,0.37975,1.12638,0.79711,0.59434,0.87292,0.70663,0.65984,0.37358,1.01974,0.78786,0.000585599,0.000585599,0.000585599
5,4139.28,0.35176,0.95272,0.79522,0.63517,0.93988,0.74121,0.7044,0.32502,0.847,0.78095,0.000503132,0.000503132,0.000503132
6,4977,0.3206,0.84588,0.78666,0.66587,0.93397,0.7838,0.75697,0.29283,0.75214,0.77623,0.000420665,0.000420665,0.000420665
7,5804.14,0.30344,0.77638,0.78493,0.70948,0.94136,0.84079,0.81647,0.27422,0.66169,0.77413,0.000338198,0.000338198,0.000338198
8,6606.41,0.28207,0.67821,0.78507,0.75951,0.90763,0.88913,0.86695,0.25354,0.611,0.77371,0.000255731,0.000255731,0.000255731
9,7413.43,0.26865,0.61108,0.77974,0.80789,0.91652,0.91903,0.89757,0.25251,0.54138,0.77182,0.000173264,0.000173264,0.000173264
10,8221.4,0.25038,0.53118,0.77943,0.84969,0.92326,0.94863,0.93088,0.23312,0.4713,0.77002,9.0797e-05,9.0797e-05,9.0797e-05
