epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,687.383,0.4659,1.68676,0.93182,0.38998,0.82098,0.4249,0.39114,0.40491,1.19301,0.85525,0.0670395,0.000332935,0.000332935
2,1350.33,0.45806,1.2748,0.91882,0.42588,0.85021,0.50152,0.46101,0.38591,1.06173,0.84801,0.0339735,0.000600307,0.000600307
3,2008.09,0.41458,1.13576,0.89786,0.47394,0.90029,0.57427,0.54346,0.32854,0.9672,0.83193,0.000841553,0.00080168,0.00080168
4,2668.5,0.37371,1.01324,0.87311,0.56798,0.83204,0.68814,0.65805,0.30616,0.88577,0.82187,0.000703,0.000703,0.000703
5,3328.6,0.32211,0.89676,0.84834,0.57644,0.85283,0.72044,0.6977,0.28334,0.83201,0.80896,0.000604,0.000604,0.000604
6,3994.93,0.29314,0.78393,0.83561,0.63519,0.89174,0.76684,0.74033,0.27966,0.73089,0.8066,0.000505,0.000505,0.000505
7,4672.67,0.27545,0.69745,0.82528,0.66464,0.9243,0.82994,0.80992,0.24337,0.64512,0.79243,0.000406,0.000406,0.000406
8,5342.4,0.24824,0.63561,0.82089,0.73227,0.88557,0.84748,0.8309,0.23159,0.58454,0.78833,0.000307,0.000307,0.000307
9,6006.76,0.23529,0.56546,0.81079,0.76546,0.90948,0.8894,0.87434,0.21793,0.49312,0.78273,0.000208,0.000208,0.000208
10,6680.82,0.2149,0.49671,0.80292,0.78799,0.90951,0.90677,0.89444,0.19976,0.45105,0.77761,0.000109,0.000109,0.000109
